s,Code,Name,Author,Category,Price,Page,Ex.,Stock(s),Rating,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Book_No.
63,HUM_SH009,What We Owe Each Other,"Shafik, Minouche",Humanities / Science,662.0,142,"One of the world's most influential economists sets out the basis for a new social contract fit for the 21st century This landmark study by Minouche Shafik, Director of the LSE, draws on evidence from across the globe to show that the social contract - how we pool risks, share resources and balance individual and collective responsibility - shapes not just our wealth and opportunities but the very fabric of our lives. And yet societies everywhere are failing to adapt to the global upheavals of technology, demography and climate, leading to a breakdown in mutual trust the world over. Brilliantly lucid and accessible, What We Owe Each Other draws on a wealth of evidence and learning to outline the basic principles that every society must adopt to meet these challenges. Reshaping the social contract will have profound implications for gender equality, education, healthcare provision, the role of business and the future of work. This book will equip every reader to understand and play their part in this urgent and necessary transformation.",97,5,,,,,,,,,,,,4
64,HUM_EL010,How Not to Be Wrong : The Hidden Maths of Everyday Life,"Ellenberg, Jordan",Humanities / Science,485.0,480,"Explores the mathematician's method of analyzing life, from the everyday to the cosmic, showing us which numbers to defend, which ones to ignore and when to change the equation entirely. This book tells us that maths touches on everything we do, and a little mathematical knowledge reveals the hidden structures that lie beneath the chaotic surface.",23,5,,,,,,,,,,,,5
65,HUM_OB011,Becoming,"Obama, Michelle",Humanities / Science,474.0,426,"An intimate memoir by the former First Lady chronicles the experiences that have shaped her remarkable life, from her childhood on the South Side of Chicago through her setbacks and achievements in the White House.",31,5,,,,,,,,,,,,6
66,HUM_BR012,Nomadland : Surviving America in the Twenty-First Century,"Bruder, Jessica",Humanities / Science,560.0,273,"""People who thought the 2008 financial collapse was over a long time ago need to meet the people Jessica Bruder got to know in this scorching, beautifully written, vivid, disturbing (and occasionally wryly funny) book."" - Rebecca Solnit",117,5,,,,,,,,,,,,7
67,HUM_SI013,Lifespan : The Revolutionary Science of Why We Age,"Sinclair, Dr David",Humanities / Science,681.0,320,"In this paradigm-shifting book from acclaimed Harvard Medical School doctor and one of TIME magazine's 100 most influential people on earth, Dr. David Sinclair reveals that everything we think we know about ageing is wrong, and shares the surprising, scientifically-proven methods that can help readers live younger, longer.",88,5,,,,,,,,,,,,8
68,HUM_KH014,Future Is Asian : Global Order in the Twenty-first Century,"Khanna, Parag",Humanities / Science,304.0,405,Leading global strategist Parag Khanna explains how Asia is reshaping the entire planet and setting a new template for our collective future,120,5,,,,,,,,,,,,9
69,HUM_CO015,"Saving Justice : Truth, Transparency, and Trust","Comey, James",Humanities / Science,913.0,219,"The former FBI Director and best-selling author of A Higher Loyalty illuminates the inner workings of Americas justice system and what he believes needs to be done to promote equality and equity in the law. 350,000 first printing.",72,5,,,,,,,,,,,,10
70,HUM_RU016,Humankind : A Hopeful History,"Rutger Bregman, Bregman",Humanities / Science,571.0,225,"THE SUNDAY TIMES AND NEW YORK TIMES BESTSELLER A Guardian, Daily Telegraph, New Statesman and Daily Express Book of the Year 'Hugely, highly and happily recommended' Stephen Fry 'You should read Humankind. You'll learn a lot (I did) and you'll have good reason to feel better about the human race' Tim Harford 'The book we need right now' Daily Telegraph 'Made me see humanity from a fresh perspective' Yuval Noah Harari It's a belief that unites the left and right, psychologists and philosophers, writers and historians. It drives the headlines that surround us and the laws that touch our lives. From Machiavelli to Hobbes, Freud to Dawkins, the roots of this belief have sunk deep into Western thought. Human beings, we're taught, are by nature selfish and governed by self-interest. Humankind makes a new argument: that it is realistic, as well as revolutionary, to assume that people are good. The instinct to cooperate rather than compete, trust rather than distrust, has an evolutionary basis going right back to the beginning of Homo sapiens. By thinking the worst of others, we bring out the worst in our politics and economics too. In this major book, internationally bestselling author Rutger Bregman takes some of the world's most famous studies and events and reframes them, providing a new perspective on the last 200,000 years of human history. From the real-life Lord of the Flies to the Blitz, a Siberian fox farm to an infamous New York murder, Stanley Milgram's Yale shock machine to the Stanford prison experiment, Bregman shows how believing in human kindness and altruism can be a new way to think - and act as the foundation for achieving true change in our society. It is time for a new view of human nature.",94,5,,,,,,,,,,,,11
71,LIT_KA001,Before the Coffee Gets Cold,"Kawaguchi, Toshikazu",Literature,326.0,208,"In a small back alley in Tokyo, there is a caf? which has been serving carefully brewed coffee for more than one hundred years. But this coffee shop offers its customers a unique experience: the chance to travel back in time.
In Before the Coffee Gets Cold, we meet four visitors, each of whom is hoping to make use of the caf?'s time-travelling offer, in order to: confront the man who left them, receive a letter from their husband whose memory has been taken by early onset Alzheimer's, to see their sister one last time, and to meet the daughter they never got the chance to know.
But the journey into the past does not come without risks: customers must sit in a particular seat, they cannot leave the caf?, and finally, they must return to the present before the coffee gets cold...
Toshikazu Kawaguchi's beautiful, moving story explores the age-old question: what would you change if you could travel back in time? More importantly, who would you want to meet, maybe for one last time?",666,5,,,,,,,,,,,,12
72,LIT_OR002,1984,"Orwell, George",Literature,312.0,125,- No Detail,21,5,,,,,,,,,,,,13
73,LIT_SH003,Spring Garden,"Shibasaki, Tomoka",Literature,238.0,154,"Winner of the Akutagawa Prize, a sharp, photo-realistic novella of memory and thwarted hope Divorced and cut off from his family, Taro lives alone in one of the few occupied apartments in his block, a block that is to be torn down as soon as the remaining tenants leave. Since the death of his father, Taro keeps to himself, but is soon drawn into an unusual relationship with the woman upstairs, Nishi, as she passes on the strange tale of the sky-blue house next door. First discovered by Nishi in the little-known photo-book 'Spring Garden', the sky-blue house soon becomes a focus for both Nishi and Taro: of what is lost, of what has been destroyed, and of what hope may yet lie in the future for both of them, if only they can seize it.",124,5,,,,,,,,,,,,14
74,LIT_RO004,The Siren Song (Pirates of the Caribbean: Jack Sparrow #2),Rob Kidd,Literature,474.52,122,"Meet Jack Sparrow and his young pirate friends as they embark on a thrilling journey on the high seas. Their goal: to locate and procure the legendary Sword of Cort?s, which will grant them unimaginable power. Captain Jack Sparrow's ship, the Barnacle, and its up-till-now unshakable crew have suddenly fallen under a sinister spell. While continuing their quest for the storied Sword of Cort?s, the crew suddenly finds itself entranced by an ethereal song. As a result, each of them attempts to take the Barnacle in a different direction--and away from the Sword's supposed location. Only Jack seems unaffected by the strange song, but can he both subdue his crew and defeat the mysterious force behind the spell? Spotlight is a division of ABDO and features licensed editions of popular fiction printed and bound specifically for the library market. Each Spotlight book is printed on the highest quality paper with reinforced library bindings.",50,5,,,,,,,,,,,,1
75,LIT_RO005,The Pirate Chase (Pirates of the Caribbean: Jack Sparrow #3),Rob Kidd,Literature,187.48,128,"Jack and company are hot on the trail of the notorious pirate Left Foot Louis, who they believe is currently in possession of the Sword of Corts, but the newly appointed first mate Arabella has a personal score to settle with Louis that could jeopardize the entire mission. Original.",55,5,,,,,,,,,,,,2
76,LIT_RO006,"The Coming Storm (Pirates of the Caribbean: Jack Sparrow, #1)",Rob Kidd,Literature,179.6,144,"Teenage stowaway Jack Sparrow and his band of ragtag hoodlums are on a mission to find the legendary Sword of Cort?s which will grant them unimaginable power, but first they have to survive the power of the sea, vicious pirates, and ancient curses. Original.",45,5,,,,,,,,,,,,3
77,LIT_PA007,19TH CHRISTMAS,"PATTERSON, JAMES",Literature,302.25,384,"Christmas is coming, but crime never stops for the Women's Murder Club. Sergeant Lindsay Boxer is looking forward to spending time with her family over the holidays. But when she receives a tip-off that the biggest heist ever to hit San Francisco is being planned for Christmas Day, everything changes. The architect of the ambitious attack unleashes chaos across the city, laying traps and false alarms to distract Lindsay and the SFPD from his ultimate goal. As time runs out, will Lindsay be able to save the people of San Francisco from a Christmas they'd never forget?",741,5,,,,,,,,,,,,4
78,LIT_OR008,ANIMAL FARM,"ORWELL, GEORGE",Literature,265.05,144,"The international bestselling classic from the author of Nineteen Eighty-Four. The animals at Manor Farm have had enough of Farmer Jones � he�s drunk, he�s reckless and he cares little for the welfare of his animals. When Old Major, the old boar, calls a meeting, the animals are enthralled by his revolutionary plans, convinced that with the despot Jones overthrown, they can thrive on their own.",344,5,,,,,,,,,,,,5
79,LIT_OG009,The Memory Police,"Ogawa, Yoko",Literature,316.0,274,An Orwellian novel about the terrors of state surveillance finds a young novelist hiding her editor from mysterious authorities who would erase all memories of people who once existed.,36,5,,,,,,,,,,,,6
80,LIT_MU010,Audition,"Murakami, Ryu",Literature,454.0,322,"Documentary-maker Aoyama hasn't dated anyone in the seven years since the death of his beloved wife, Ryoko. Now even his teenage son Shige has suggested he think about remarrying. So when his best friend Yoshikawa comes up with a plan to hold fake film auditions so that Aoyama can choose a new bride, he decides to go along with the idea. Of the thousands who apply, Aoyama only has eyes for Yamasaki Asami, a young, beautiful, delicate and talented ballerina with a turbulent past. But there is more to her than Aoyama, blinded by his infatuation, can see, and by the time he discovers the terrifying truth it may be too late Ryu Murakami delivers his most subtle and disturbing novel yet, confirming him as Japan's master of the psycho-thriller.",99,5,,,,,,,,,,,,7
81,LIT_BA011,Six of Crows,"Bardugo, Leigh",Literature,408.0,428,"Nominated for the CILIP Carnegie Medal 2017, this fantasy epic from the No. 1 NEW YORK TIMES bestselling author of the Grisha trilogy is gripping, sweeping and memorable - perfect for fans of George R. R. Martin, Laini Taylor and Kristin Cashore.",74,5,,,,,,,,,,,,8
82,LIT_KI012,IF IT BLEEDS,"KING, STEPHEN",Literature,581.25,576,"The novella is a form King has returned to over and over again in the course of his amazing career, and many have been made into iconic films, including &;The Body&; (Stand By Me) and &;Rita Hayworth and Shawshank Redemption&; (Shawshank Redemption). Like Four Past Midnight, Different Seasons, and most recently Full Dark, No Stars, If It Bleeds is a uniquely satisfying collection of longer short fiction by an incomparably gifted writer.",65,5,,,,,,,,,,,,9
83,LIT_HA013,Midnight Library,"Haig, Matt",Literature,414.0,555,"The life-changing reader-favourite, from the acclaimed author of How To Stop Time, Reasons to Stay Alive and The Comfort Book",75,5,,,,,,,,,,,,10
84,LIT_KE014,DIE ALONE,"KERNICK, SIMON",Literature,260.0,400,DIE ALONE,321,5,,,,,,,,,,,,11
85,PSY_DI001,Becoming Supernatural,"Dispenza, Dr Joe",Psychology.,225.0,176,"New York Times bestselling author Dr Joe Dispenza offers a programme that helps readers achieve a healthier, more efficient body, mind and spirit, based on research conducted at his workshops since 2012, in which he uses the most cutting-edge tools and techniques.",547,5,,,,,,,,,,,,12
86,PSY_CA002,Quiet : The Power of Introverts in a World That Can't Stop Talking,"Cain, Susan",Psychology.,454.0,352,"Our lives are driven by a fact that most of us can't name and don't understand. It defines who our friends and lovers are, which careers we choose, and whether we blush when we're embarrassed. This title shows how the brain chemistry of introverts and extroverts differs, and how society misunderstands and undervalues introverts.",910,5,,,,,,,,,,,,13
87,PSY_MO003,13 Things Mentally Strong Women Don't Do,"Morin, Amy",Psychology.,441.0,235,"International bestselling author and leading global expert on mental strength Amy Morin turns her focus to female empowerment for the modern day, explaining what it means - and what it takes - to be a mentally strong woman in a post- #MeToo and #TimesUp age.",467,5,,,,,,,,,,,,1
88,PSY_ES004,Women Who Run with the Wolves,"Estes, Clarissa Pinkola",Psychology.,574.0,214,"Chosen by Emma Watson for her feminist book club 'Our Shared Shelf' 'Women Who Run With The Wolves is a gift of profound insight, wisdom and love. An oracle from one who knows' Alice Walker In the classic Women Who Run With The Wolves, Clarissa Pinkola Estes tells us about the 'wild woman', the wise and ageless presence in the female psyche that gives women their creativity, energy and power. For centuries, the 'wild woman' has been repressed by a male-orientated value system which trivialises women's emotions. Using a combination of time-honoured stories and contemporary casework, Estes reveals that the 'wild woman' in us is innately healthy, passionate and wise. Thoughtfully written and compelling in its arguments, Women Who Run With The Wolves gives readers a new sense of direction, a self confidence and purpose in their lives.",63,5,,,,,,,,,,,,2
89,PSY_ER005,Surrounded by Idiots,"Erikson, Thomas",Psychology.,376.0,304,The Four Types of Human Behavior and How to Effectively Communicate with Each in,99,5,,,,,,,,,,,,3
90,PSY_WA006,"Depression, Anxiety, and Other Things We Don't Want to Talk about","Waller, Ryan Casey",Psychology.,602.0,235,"""A pastor and licensed psychotherapist himself suffering from depression and anxiety takes on the relationship of mental health and faith while addressing the role of self-care, compassion, and restoration""--",648,5,,,,,,,,,,,,4
91,PSY_PE007,12 Rules for Life: An Antidote to Chaos,"Peterson, Jordan B.",Psychology.,485.0,448,"The #1 Sunday Times bestseller from 'the most influential public intellectual in the Western world right now' (New York Times) - now in paperback. How should we live properly in a world of chaos and uncertainty? Jordan Peterson has helped millions of people, young and old, men and women, aim at a life of responsibility and meaning. Now he can help you. Drawing on his own work as a clinical psychologist and on lessons from humanity's oldest myths and stories, Peterson offers twelve profound and realistic principles to live by. After all, as he reminds us, we each have a vital role to play in the unfolding destiny of the world. Deep, rewarding and enlightening, 12 Rules for Life is a lifeboat built solidly for stormy seas: ancient wisdom applied to our contemporary problems.",61,5,,,,,,,,,,,,5
92,PSY_FU008,"Psychology 101 : The 101 Ideas, Concepts and Theories That Have Shaped Our World","Furnham, Adrian",Psychology.,771.0,470,"Psychologists have always shone a torch, and often a spotlight, into many dark corners of the human mind. They study everything, from art preferences to altruism, coaching to criminality, jokes and humour to justice and honesty, as well as sex differences, schizophrenia and sociopathy. Psychology can offer clear descriptions and explanations for all sort of phenomena. More importantly, psychological research can improve lives in a multitude of ways; many applied psychologists - e.g. clinical, educational, counselling and work psychologists - have the primary aim of making people more happy and better able to identify and realise their full potential. Psychology 101 offers bite-size articles of psychological science from Adrian Furnham, a seasoned psychologist with a broad range of expertise. This book is the essential guide for anyone with an interest - either academic, professional or general - in demystifying and understanding the fascinating world of psychological history, theories, issues and beliefs.",116,5,,,,,,,,,,,,6
93,PSY_MC009,The Little Book of Sloth Philosophy,"McCartney, Jennifer",Psychology.,332.0,176,"Relax, unwind and soak up the wisdom of the sloth with the slowest page turner you'll ever read.",97,5,,,,,,,,,,,,7
94,PSY_AR010,The Highly Sensitive Person : How to Thrive When the World Overwhelms You,"Aron, Elaine N. / Behar, Tracy (EDT)",Psychology.,612.0,326,"Stating that hypersensitivity is an asset rather than a flaw, a guide for the one out of every five people who is highly subject to his or her surroundings offers coping methods while explaining how to benefit from sensitivityrelated personality traits. Reissue.",212,5,,,,,,,,,,,,8
95,PSY_MA011,Zen: the Art of Simple Living,"Masuno, Shunmyo / Goldhawk, Zanna",Psychology.,527.0,224,"Be more Zen with this little book of 100 tips and activities to soothe the soul 'Brings the spirit of Zen Buddhism to everyday life . . . 100 snack-size Zen activities you can do daily to add more calm to your life' Daily Telegraph Zen is the perfect antidote to the stress and uncertainty of modern life . . . In clear, practical and easy to follow lessons - one a day for 100 days - renowned Buddhist monk Shunmyo Masuno draws on centuries of wisdom to show you how to apply the essence of Zen to modern life. You will learn how to exhale deeply to eliminate negative emotions, to arrange your house simply to clear your thinking, to line up your shoes at night to bring order to your mind, to plant a single flower and watch it grow, to worry less about what you cannot control, and so much more",78,5,,,,,,,,,,,,9
96,PSY_GO012,The Enneagram & You,"Gomez, Gina",Psychology.,561.0,256,"Unlock the power of personality types using the wisdom of the enneagram so you can strengthen your personal, professional, and romantic relationships today!",21,5,,,,,,,,,,,,10
97,PSY_AR013,Poetics (Oxford World's Classics),"Aristotle / Kenny, Anthony (TRN)",Psychology.,256.0,103,"A founding text of European aestheticism and literary criticism, Poetics underpins our moden understanding of imaginative writing. Anthony Kenny's new translation is accompanied by associated material from Plato, Sir Philip Sidney, P. B. Shelley, and Dorothy L. Sayers and a wide-ranging introduction.",65,5,,,,,,,,,,,,11
98,PSY_HO014,Tao of Pooh & the Te of Piglet,"Hoff, Benjamin / Shepard, E. H.",Psychology.,500.0,432,"""It's hard to be brave,' said Piglet, sniffing slightly, ""when you're only a Very Small Animal."" Rabbit, who had begun to write very busily, looked up and said: ""It is because you are a very small animal that you will be useful in the adventure before us.""",76,5,,,,,,,,,,,,12
99,PSY_FR015,Pedagogy of the Oppressed (Penguin Modern Classics),"Freire, Paulo",Psychology.,460.0,160,"The foremost work on the key democratic task: helping people to identify and challenge the sources of their oppression ... a transformative text' George Monbiot, Guardian Arguing that 'education is freedom', Paulo Freire's radical international classic contends that traditional teaching styles keep the poor powerless by treating them as passive, silent recipients of knowledge. Grounded in Freire's own experience teaching impoverished and illiterate students in his native Brazil and over the world, this pioneering book instead suggests that through co-operation, dialogue and critical thinking, every human being can develop a sense of self and fulfil their right to be heard. 'Truly revolutionary' Ivan Illich",44,5,,,,,,,,,,,,13
100,PSY_WO016,"Good Habits, Bad Habits : The Science of Making Positive Changes That Stick","Wood, Wendy",Psychology.,409.0,345,A profoundly insightful and helpful book on the power of habit and how to change your behaviour for a lifetime.,91,4,,,,,,,,,,,,14
